Group,RecentCriticalRate,BaselineCriticalRate,Lift,RecentVolume
76734AF | BRACKET,0.5483870967741935,0.24242424242424243,0.3059628543499511,31
717200 | SKIN,0.7666666666666667,0.5952380952380952,0.17142857142857149,30
7377H4 | STRINGER,0.8666666666666667,0.7333333333333333,0.13333333333333341,15
7377H4 | BATTERY PACK,0.9736842105263158,0.8604651162790697,0.11321909424724608,38
ERJ170200LR | SKIN,0.2608695652173913,0.1523809523809524,0.1084886128364389,23
737823 | FLOOR SUPPORT,0.4722222222222222,0.3684210526315789,0.10380116959064328,36
737932ER | BATTERY PACK,0.9354838709677419,0.8554216867469879,0.08006218422075395,31
7378H4 | ATTACH ANGLE,1.0,0.92,0.07999999999999996,16
7378 | FLASHLIGHT,0.4339622641509434,0.36220472440944884,0.07175753974149457,53
7378H4 | ANGLE,0.8461538461538461,0.7884615384615384,0.05769230769230771,26
7378 | BATTERY,0.5,0.4444444444444444,0.05555555555555558,20
CL6002D24 | ANGLE,0.42105263157894735,0.36585365853658536,0.05519897304236199,19
