AircraftModel,total_records,critical_count,avg_critical_prob,critical_rate
7377H4,1472,1167,0.7633,0.7928
7378H4,1450,1144,0.7603,0.789
737823,1601,1017,0.6339,0.6352
A321231,1094,847,0.6945,0.7742
7378,834,540,0.5801,0.6475
CL6002D24,647,512,0.7607,0.7913
75724APF,543,494,0.87,0.9098
737824,593,479,0.7583,0.8078
ERJ170200LR,695,430,0.6702,0.6187
A300F4622R,491,427,0.8163,0.8697
A320232,574,418,0.681,0.7282
CL6002C10,526,393,0.7204,0.7471
76734AF,431,360,0.769,0.8353
EMB145LR,422,325,0.7799,0.7701
737924ER,356,270,0.7201,0.7584
A319115,332,267,0.7779,0.8042
A330941,288,262,0.7921,0.9097
ERJ170200LL,348,261,0.7769,0.75
A321253NX,387,253,0.6071,0.6537
A330323,310,252,0.7777,0.8129
